contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Symbol,Stock_Price,Expiry,Data_Date,mid_price,IV,Time_Bisect,Time_Newton,Parity_Price,Delta_An,Delta_Num,Gamma_An,Gamma_Num,Vega,Moneyness
TSLA260213C00340000,2026-02-12 17:59:32+00:00,340.0,75.11,75.0,77.75,-18.269997,-19.565214,40.0,17,1.15234798828125,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,76.375,0.5,0.0066869258880615234,0.0004436969757080078,0.11971010986985675,1.0,0.9999999999990905,1.47847015708525e-37,-2394.202197397135,1.2807671278294629e-35,1.2242352653952207
TSLA260213C00342500,2026-02-12 17:59:45+00:00,342.5,72.47,72.1,74.95,21.670002,42.657486,20.0,31,1.679200822753906,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,73.525,0.5,0.03767132759094238,0.00036644935607910156,-0.23040238759898557,1.0,0.9999999999990905,5.013775352774287e-35,4608.047751979143,4.3433265307259136e-33,1.215299241560219
TSLA260213C00345000,2026-02-12 17:36:48+00:00,345.0,74.42,70.0,72.25,-7.0200043,-8.619848,11.0,155,1.5654318603515622,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,71.125,0.5,0.03715014457702637,0.0003497600555419922,-0.13051488506772557,1.0,0.9999999999990905,1.3179328299898925e-32,2610.2977013545114,1.1416970692638613e-30,1.206492725317029
TSLA260213C00347500,2026-02-12 17:51:33+00:00,347.5,70.29,67.5,69.95,-1.1399994,-1.5959672,21.0,8,1.5781271093749998,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,68.725,0.5,0.03713274002075195,0.00038361549377441406,-0.03062738253652242,1.0,0.9999999999990905,2.6993470141903935e-30,612.5476507310168,2.3383866801853335e-28,1.1978129215377697
TSLA260213C00350000,2026-02-12 18:13:27+00:00,350.0,66.04,65.05,67.4,-8.580002,-11.49826,28.0,97,1.513186027832031,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,66.225,0.5,0.036911964416503906,0.0004038810729980469,-0.03073988000528516,1.0,0.9999999999990905,4.329762119481004e-28,614.7976001062716,3.7507804722180403e-26,1.1892571149553572
TSLA260213C00352500,2026-02-12 17:38:46+00:00,352.5,67.07,62.55,64.95,-4.1299973,-5.800558,10.0,27,1.4775416748046877,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,63.75,0.5,0.0362849235534668,0.0003681182861328125,-0.005852377474127479,1.0,0.9999999999990905,5.465826257708613e-26,117.04754948254958,4.734928577186472e-24,1.1808226673315603
TSLA260213C00355000,2026-02-12 19:14:53+00:00,355.0,59.75,60.35,62.25,-11.169998,-15.750138,33.0,115,0.7812521875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,61.3,0.5,0.005918025970458984,0.0003235340118408203,0.04403512505712115,1.0,0.9999999999990905,5.456651395746633e-24,-880.7025011421388,4.72698059017641e-22,1.1725070147447183
TSLA260213C00357500,2026-02-09 15:13:35+00:00,357.5,56.18,57.55,59.95,0.0,0.0,50.0,30,1.3774445190429687,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,58.75,0.5,0.03553915023803711,0.0003333091735839844,-0.006077372411709803,1.0,0.9999999999990905,4.328272388323713e-22,121.54744823419605,3.7494899499261836e-20,1.1643076649912587
TSLA260213C00360000,2026-02-12 14:55:53+00:00,360.0,69.83,55.0,57.3,4.5999985,7.051967,23.0,99,1.2866246606445313,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,56.15,0.5,0.036232709884643555,0.0003495216369628906,-0.10618986988049528,1.0,0.9999999999990905,2.740370236698561e-20,2123.797397609479,2.3739242218897115e-18,1.156222195095486
TSLA260213C00362500,2026-02-12 18:03:41+00:00,362.5,52.41,53.0,54.95,-11.459999,-17.942694,12.0,20,0.91211025390625,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,53.975,0.5,0.007407665252685547,0.0003275871276855469,0.21869763265078745,1.0,0.9999999999990905,1.3910699659999654e-18,-4373.9526530153225,1.2050542085178345e-16,1.1482482489224137
